>>> datacard for TT, count

imax 5 number of channels (muon_2j1t_central, muon_2j1t_forward, muon_3j1t_central, muon_3j1t_forward, muon_3j2t)
jmax 7 number of backgrounds (ST_tch, ST_sch, ST_tW, DYJets, WJets, VV, DDQCD)
kmax 17 number of nuisance parameters (lumi, jes, pdf_total, q2TT, q2ST_tch, q2VV, q2DYJets, jer, psq2TT, hdampTT, hdampST_tch, psq2ST_tch, q2WJets, mistag, lepMu, pu, btag)
---------------------
bin	muon_2j1t_central	muon_2j1t_forward	muon_3j1t_central	muon_3j1t_forward	muon_3j2t
observation	286732	48497	221895	58604	87767
---------------------
bin	muon_2j1t_central	muon_2j1t_central	muon_2j1t_central	muon_2j1t_central	muon_2j1t_central	muon_2j1t_central	muon_2j1t_central	muon_2j1t_central	muon_2j1t_forward	muon_2j1t_forward	muon_2j1t_forward	muon_2j1t_forward	muon_2j1t_forward	muon_2j1t_forward	muon_2j1t_forward	muon_2j1t_forward	muon_3j1t_central	muon_3j1t_central	muon_3j1t_central	muon_3j1t_central	muon_3j1t_central	muon_3j1t_central	muon_3j1t_central	muon_3j1t_central	muon_3j1t_forward	muon_3j1t_forward	muon_3j1t_forward	muon_3j1t_forward	muon_3j1t_forward	muon_3j1t_forward	muon_3j1t_forward	muon_3j1t_forward	muon_3j2t	muon_3j2t	muon_3j2t	muon_3j2t	muon_3j2t	muon_3j2t	muon_3j2t	muon_3j2t
process	TT	ST_tch	ST_sch	ST_tW	DYJets	WJets	VV	DDQCD	TT	ST_tch	ST_sch	ST_tW	DYJets	WJets	VV	DDQCD	TT	ST_tch	ST_sch	ST_tW	DYJets	WJets	VV	DDQCD	TT	ST_tch	ST_sch	ST_tW	DYJets	WJets	VV	DDQCD	TT	ST_tch	ST_sch	ST_tW	DYJets	WJets	VV	DDQCD
process	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7	0	1	2	3	4	5	6	7
rate	1.62e+05	2.452e+04	4833	1.834e+04	8026	4.793e+04	1188	1.494e+04	1.498e+04	1.786e+04	695.7	1432	1572	8394	153.3	3653	1.856e+05	6665	1320	1.152e+04	2065	1.434e+04	651.9	1.14	4.112e+04	8117	427.8	2734	1127	6040	169.7	1	7.906e+04	5268	791.8	2141	683.1	2083	126.3	1
---------------------
lumi	lnN	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027
jes	lnN	1.052	1.019	1.014	1.028	1.031	1.017	1.02	1.008	1.044	1.042	1.037	1.053	1.011	1.073	1.062	1.004	1.01	1.015	1.035	1.016	1.014	1.032	1.017	1.011	1.065	1.11	1.152	1.109	1.213	1.198	1.118	1.026	1.013	1.027	1.025	1.017	1.068	1.048	1.03	1.027
pdf_total	lnN	1.012	1.014	1	1	1.013	1.017	1.015	1.002	1.021	1.018	1	1	1.023	1.024	1.025	1.001	1.012	1.013	1	1	1.017	1.017	1.016	1.01	1.018	1.018	1	1	1.029	1.022	1.014	1.005	1.012	1.015	1	1	1.02	1.016	1.017	1.016
q2TT	lnN	1.117	1	1	1	1	1	1	1	1.136	1	1	1	1	1	1	1	1.119	1	1	1	1	1	1	1	1.135	1	1	1	1	1	1	1	1.117	1	1	1	1	1	1	1
q2ST_tch	lnN	1	1.015	1	1	1	1	1	1	1	1.005	1	1	1	1	1	1	1	1.006	1	1	1	1	1	1	1	1.02	1	1	1	1	1	1	1	1.005	1	1	1	1	1	1
q2VV	lnN	1	1	1	1	1	1	1.037	1	1	1	1	1	1	1	1.06	1	1	1	1	1	1	1	1.065	1	1	1	1	1	1	1	1.083	1	1	1	1	1	1	1	1.041	1
q2DYJets	lnN	1	1	1	1	1.07	1	1	1	1	1	1	1	1.113	1	1	1	1	1	1	1	1.042	1	1	1	1	1	1	1	1.082	1	1	1	1	1	1	1	1.089	1	1	1
jer	lnN	1.003	1.003	1.001	1.004	1.005	1.004	1.002	1	1.004	1.004	1.002	1.005	1.012	1.007	1.004	1	1.001	1.002	1.001	1	1.022	1.003	1.001	1.001	1.017	1.015	1.021	1.022	1.037	1.042	1.018	1.006	1.002	1.004	1.015	1.003	1.02	1.015	1.015	1.003
psq2TT	lnN	1.054	1	1	1	1	1	1	1	1.061	1	1	1	1	1	1	1	1.052	1	1	1	1	1	1	1	1.052	1	1	1	1	1	1	1	1.06	1	1	1	1	1	1	1
hdampTT	lnN	1.05	1	1	1	1	1	1	1	1.051	1	1	1	1	1	1	1	1.057	1	1	1	1	1	1	1	1.064	1	1	1	1	1	1	1	1.056	1	1	1	1	1	1	1
